stars,,ellipticals,,spirals,,LIRGs,,qsos/seyferts,
0.5294744098734339,0.6089032011706341,1.0875368009281123,0.29405486471833076,1.113151704356647,0.28738697378316447,5.639501897616174,0.46244643825314435,2.8321558493799945,1.6476367245570778
0.6765870309156945,0.601889162891839,1.209162046510543,0.270626155039031,1.2216597874436692,0.3233498609580776,5.659122986515557,0.38325156968711216,2.9791045058910632,1.6703002664241455
0.8173414718039305,0.5882983250840961,1.2733268330505854,0.23087386536544408,1.3365807055284464,0.355997020946651,5.653110953705161,0.3140221009613424,3.119713200529351,1.6830894998571693
0.9773890725291641,0.5548677790020466,1.3375280561531149,0.18452655788166572,1.4259413750284207,0.38541954515510346,5.6471900123009835,0.2283050877100936,3.22197241314981,1.6926905340725589
1.0926743562388141,0.5215647608887028,1.3825454291061088,0.13823390524161816,1.5728353766957577,0.4179756137374584,5.641068669803126,0.1788606724148991,3.375261031533659,1.7252283843736707
1.1951886247966836,0.4850006704327501,1.3829280130122248,0.06898621823460482,1.7069765814925582,0.4439731010721095,5.622212748715976,0.11956016696690464,3.522246124607214,1.7412969084305465
1.2593898478992136,0.4386533629489713,1.3448882417755388,0.00974036763034114,1.8155757559857983,0.46344844372154315,5.577869452168995,0.04384499011840415,3.592659781613819,1.7279064717164836
1.3363985227160105,0.38897210999761,1.2683350239898328,-0.02301610204569471,1.9369459456308182,0.48618485871358574,5.53348971905953,-0.025275168919903557,3.6632556214328607,1.6815409459514612
1.375021278952492,0.34269767563880604,1.1214045857600086,-0.04897715281785775,2.0455451201240593,0.5056602013630194,5.482606059546088,-0.07459205624639242,3.7656970168657558,1.6581668911158922
1.3753492080148773,0.2833425153470803,0.9807594545592342,-0.05517136844069004,2.179722761483347,0.5250626708874786,5.418914948318379,-0.12057499810529837,3.906506112597722,1.6346835265928612
1.3437587083384344,0.21418591974628454,0.8208576000839498,-0.048120893599407744,2.3330842529921703,0.544410485568207,5.329627151943381,-0.1631875579341342,4.0346352845841285,1.5914515452017426
1.3119495892870674,0.18459943100664056,0.6929106109099812,-0.03786400125924683,2.537584459951846,0.566910062904082,5.253110370720162,-0.2025390454203606,4.1435623881397525,1.5515717275594505
1.2290199730660931,0.14856367070675303,0.6033131037538406,-0.024418909701452662,2.7036623117687175,0.5994114766427061,5.150960467787165,-0.23192513306632634,4.25908450950557,1.4754010936798605
1.1141901463875339,0.0994289661926997,0.49444065504194556,0.005568381225550034,2.8826751432685636,0.6054963825780768,5.048828783135409,-0.2646087296173869,4.374661285715119,1.3893379330849824
1.037728020008045,0.05018495199118522,0.404752056479587,0.0355010173088246,3.0615604467997035,0.6346638508491176,4.914705796619852,-0.29390372585713376,4.445475744909082,1.30340230045881
0.9165764497379487,-0.012121569862006965,0.3662386099305661,0.061990398237053324,3.2533625117325733,0.6407123202220011,4.812446583999392,-0.30350476007252336,4.503592062076242,1.2010155598696453
0.8336468335169736,-0.04815733016189494,0.3979384192944715,0.11136194040727343,3.432357124951175,0.6500947350624671,4.6270755723455235,-0.3161664655368419,4.516854970821601,1.1152438917746648
0.712331298715684,-0.08078627186922471,0.4616113122409362,0.1606423911712751,3.592240761145215,0.6463417691262805,4.4864304411447495,-0.3223606811596742,4.517292209571448,1.0361036780523643
0.5589880254881039,-0.10343159545504843,0.5253388600311313,0.2000303152199896,3.7521243973392555,0.6425888031900944,4.27537165293737,-0.31516446006844223,4.511298395042294,0.9635767004214988
0.43750852615562197,-0.10638295701651579,0.5955338976628131,0.2262099853670767,3.8928606199462483,0.6322954742874467,4.083387405192065,-0.2882378403903667,4.466882225370341,0.9010515591933825
0.29041412339460493,-0.10266642764281642,0.6721053337297631,0.2556689461380155,3.988834525537658,0.6221296733535051,3.904174172598539,-0.25805014836968265,4.396996898519802,0.8188142376596659
0.053084573633920495,0.02990800496703283,0.748749642921688,0.27193787128857183,4.104156245809795,0.5822316374299694,3.7697050387393536,-0.22469247541260806,4.314249465111262,0.7498033883088189
-0.011298832281045001,0.10923040150176977,0.8381467489841485,0.294765377686832,4.20025767936991,0.548983274160356,3.6223555800409257,-0.17481082136756587,4.212227090146971,0.6973347383271831
-0.043800246019669586,0.2049492511557678,0.9276167281715844,0.3044028484647092,4.251633232476928,0.5092674210492567,3.5134102582040563,-0.1316334948201785,4.103755443622436,0.6547768333420785
